"keys","en","fr"
"Bone Saw","Bone Saw","La Scie à Os"
"Grinds the skulls off the reel. -5 draw weight on Skull.","Grinds the skulls off the reel. -5 draw weight on Skull.","Elle arrache les crânes du rouleau. -5 de poids de tirage sur Crâne."
"Brake Shoe","Brake Shoe","Le Sabot de Frein"
"It stops what it is told to stop. +1.2x per reel held for the spin.","It stops what it is told to stop. +1.2x per reel held for the spin.","Il arrête ce qu'on lui dit d'arrêter. +1,2x par rouleau retenu pour le lancer."
"Brass Multiplier","Brass Multiplier","Multiplicateur en Laiton"
"A gearbox bolted to the payout arm. +0.5x on every line.","A gearbox bolted to the payout arm. +0.5x on every line.","Un engrenage boulonné sur le bras de paiement. +0,5x sur chaque ligne."
"Chandelier","Chandelier","Le Lustre"
"Somebody spent the float on this. +0.7x on every line.","Somebody spent the float on this. +0.7x on every line.","Quelqu'un a dépensé la trésorerie là-dedans. +0,7x sur chaque ligne."
"Cherry Bomb","Cherry Bomb","La Cerise Explosive"
"Fruit detonates on landing. Each Cherry pays 4 more.","Fruit detonates on landing. Each Cherry pays 4 more.","Les fruits détonent en tombant. Chaque Cerise paie 4 de plus."
"Cider House","Cider House","La Cidrerie"
"The whole harvest, fermenting. +0.03x per fruit landed this run, up to +6.0x.","The whole harvest, fermenting. +0.03x per fruit landed this run, up to +6.0x.","Toute la récolte, en train de fermenter. +0,03x par fruit tombé cette partie, jusqu'à +6,0x."
"Cider Press","Cider Press","Le Pressoir à Cidre"
"Fruit goes in and credit comes out. Every fruit pays 2 more.","Fruit goes in and credit comes out. Every fruit pays 2 more.","Le fruit entre, le crédit sort. Chaque fruit paie 2 de plus."
"Cold Boiler","Cold Boiler","La Chaudière Froide"
"Cold for forty spins. Then it lights: +1.6x on every line.","Cold for forty spins. Then it lights: +1.6x on every line.","Froide pendant quarante lancers. Puis elle s'allume : +1,6x sur chaque ligne."
"Compound Note","Compound Note","Billet à Intérêts Composés"
"Slow money, patient money. Pays 5% of cash per floor, up to 40.","Slow money, patient money. Pays 5% of cash per floor, up to 40.","De l'argent lent, de l'argent patient. Paie 5 % de l'argent par étage, jusqu'à 40."
"Counting Room","Counting Room","La Salle de Comptage"
"Every device on the floor reports to it. +0.12x per artifact owned.","Every device on the floor reports to it. +0.12x per artifact owned.","Chaque appareil de l'étage lui fait son rapport. +0,12x par artefact possédé."
"Creditors' Ledger","Creditors' Ledger","Le Grand Livre des Créanciers"
"Every bank device on the machine is a creditor. +0.35x per bank device owned.","Every bank device on the machine is a creditor. +0.35x per bank device owned.","Chaque appareil bancaire de la machine est un créancier. +0,35x par appareil bancaire possédé."
"Crooked Croupier","Crooked Croupier","Le Croupier Malhonnête"
"He deals himself in. +3 draw weight on the Wild.","He deals himself in. +3 draw weight on the Wild.","Il se sert lui-même. +3 de poids de tirage sur le Sauvage."
"Dead Man's Grip","Dead Man's Grip","La Prise du Mort"
"Nothing you hold is let go of. +3.0x per reel held for the spin.","Nothing you hold is let go of. +3.0x per reel held for the spin.","Rien de ce que vous tenez n'est lâché. +3,0x par rouleau retenu pour le lancer."
"Death Benefit","Death Benefit","L'Assurance-Décès"
"The policy pays out on every skull. +1.6x per skull standing.","The policy pays out on every skull. +1.6x per skull standing.","La police paie sur chaque crâne. +1,6x par crâne debout."
"Safety Deposit Box","Safety Deposit Box","Le Coffre-Fort Individuel"
"A drawer with your name filed off it. The vault pays 15% more.","A drawer with your name filed off it. The vault pays 15% more.","Un tiroir dont on a limé votre nom. Le coffre paie 15 % de plus."
"Entropy Engine","Entropy Engine","Le Moteur à Entropie"
"It hums, and the odds bend. +1.0x on every line.","It hums, and the odds bend. +1.0x on every line.","Il vrombit, et les probabilités se courbent. +1,0x sur chaque ligne."
"Escrow Account","Escrow Account","Le Compte Séquestre"
"Held, and quietly earning. 8% of your float, up to 60.","Held, and quietly earning. 8% of your float, up to 60.","Placé, et discrètement fructueux. 8 % de votre trésorerie, jusqu'à 60."
"False Ceiling","False Ceiling","Le Faux Plafond"
"Something up there is pointing the wrong way. The count barely moves.","Something up there is pointing the wrong way. The count barely moves.","Quelque chose là-haut pointe dans le mauvais sens. La surveillance bouge à peine."
"Final Notice","Final Notice","La Mise en Demeure"
"The debt is settled. The terms are not discussed.","The debt is settled. The terms are not discussed.","La dette est réglée. Les conditions ne se discutent pas."
"Fine Adjuster","Fine Adjuster","Le Régleur de Précision"
"A thumbscrew on the stop. +0.5x per nudge spent on the board.","A thumbscrew on the stop. +0.5x per nudge spent on the board.","Une vis de pression sur le cliquet. +0,5x par poussée dépensée sur le plateau."
"Flywheel","Flywheel","Le Volant d'Inertie"
"It keeps what it is given. +0.6x for every floor already cleared.","It keeps what it is given. +0.6x for every floor already cleared.","Il garde ce qu'on lui donne. +0,6x par étage déjà franchi."
"Foreman","Foreman","Le Contremaître"
"He counts the machines and charges by the head. +0.3x per mechanical device owned.","He counts the machines and charges by the head. +0.3x per mechanical device owned.","Il compte les machines et facture à la tête. +0,3x par appareil mécanique possédé."
"Fruit Ledger","Fruit Ledger","Le Grand Livre des Fruits"
"Every cherry and every lemon, written down. +0.012x per fruit landed this run, up to +1.5x.","Every cherry and every lemon, written down. +0.012x per fruit landed this run, up to +1.5x.","Chaque cerise et chaque citron, consignés. +0,012x par fruit tombé cette partie, jusqu'à +1,5x."
"Gallows Humour","Gallows Humour","L'Humour de Potence"
"You laugh at the skulls and the skulls pay up. Each pays 3 instead of costing you.","You laugh at the skulls and the skulls pay up. Each pays 3 instead of costing you.","Vous riez des crânes et les crânes paient rubis sur l'ongle. Chacun paie 3 au lieu de vous coûter."
"Golden Reel","Golden Reel","Le Rouleau d'Or"
"The third reel is solid gold. Each Lucky Seven pays 6 more.","The third reel is solid gold. Each Lucky Seven pays 6 more.","Le troisième rouleau est en or massif. Chaque Sept Chanceux paie 6 de plus."
"Grave Digger","Grave Digger","Le Fossoyeur"
"He works the orchard. +2.0x while you own the Bone Orchard.","He works the orchard. +2.0x while you own the Bone Orchard.","Il travaille le verger. +2,0x tant que vous possédez le Verger d'Ossements."
"Graveyard Shift","Graveyard Shift","L'Équipe de Nuit"
"The floor never closes and the counter never resets. 20% of spins are free.","The floor never closes and the counter never resets. 20% of spins are free.","L'étage ne ferme jamais et le compteur ne revient jamais à zéro. 20 % des lancers sont gratuits."
"Harvest Festival","Harvest Festival","La Fête des Moissons"
"Everything that has ever landed, counted. +0.06x per symbol landed this run, up to +9.0x.","Everything that has ever landed, counted. +0.06x per symbol landed this run, up to +9.0x.","Tout ce qui est jamais tombé, décompté. +0,06x par symbole tombé cette partie, jusqu'à +9,0x."
"Hazard Pay","Hazard Pay","La Prime de Risque"
"Skulls are on the payroll. Each one pays 6 instead of costing you.","Skulls are on the payroll. Each one pays 6 instead of costing you.","Les crânes sont sur la paie. Chacun paie 6 au lieu de vous coûter."
"High Rollers' Cage","High Rollers' Cage","La Cage des Gros Joueurs"
"Where the big money is kept while it plays. +1.0x per stake level above the first.","Where the big money is kept while it plays. +1.0x per stake level above the first.","Là où le gros argent est gardé pendant qu'il joue. +1,0x par niveau de mise au-dessus du premier."
"Hot Hand","Hot Hand","La Main Chaude"
"It knows when you are on one. +0.25x per paying spin in a row, up to +2.5x.","It knows when you are on one. +0.25x per paying spin in a row, up to +2.5x.","Elle sait quand vous êtes lancé. +0,25x par lancer payant d'affilée, jusqu'à +2,5x."
"House Contract","House Contract","Le Contrat de la Maison"
"You renegotiate. Every ante costs 20% less.","You renegotiate. Every ante costs 20% less.","Vous renégociez. Chaque ante coûte 20 % de moins."
"House Edge","House Edge","L'Avantage de la Maison"
"You are the house now. +4.0x on every line.","You are the house now. +4.0x on every line.","Vous êtes la maison, désormais. +4,0x sur chaque ligne."
"Written on a napkin, honoured anyway. +0.06x for every 100 you owe, up to +0.6x.","Written on a napkin, honoured anyway. +0.06x for every 100 you owe, up to +0.6x.","Écrit sur une serviette en papier, honoré quand même. +0,06x par tranche de 100 dus, jusqu'à +0,6x."
"Jackpot Ledger","Jackpot Ledger","Le Grand Livre du Jackpot"
"The house keeps score. Jackpot lines gain +3.0x.","The house keeps score. Jackpot lines gain +3.0x.","La maison tient les comptes. Les lignes de jackpot gagnent +3,0x."
"Ledger Rewrite","Ledger Rewrite","La Réécriture du Registre"
"You edit the record after the fact. Clean sweeps gain +4.0x.","You edit the record after the fact. Clean sweeps gain +4.0x.","Vous corrigez le registre après coup. Les cartons pleins gagnent +4,0x."
"Leverage Desk","Leverage Desk","Le Bureau des Leviers"
"They will lend against the machine itself. +0.5x for every 100 you owe.","They will lend against the machine itself. +0.5x for every 100 you owe.","Ils prêteront contre la machine elle-même. +0,5x par tranche de 100 dus."
"Loan Shark","Loan Shark","L'Usurier"
"He holds your Marker Note, and he is generous with it. +2.0x while you own the Marker Note.","He holds your Marker Note, and he is generous with it. +2.0x while you own the Marker Note.","Il détient votre Traite, et il est généreux avec elle. +2,0x tant que vous possédez la Traite."
"Lockstep","Lockstep","Le Pas Cadencé"
"Two drums locked are two drums paid. +1.8x per reel held for the spin.","Two drums locked are two drums paid. +1.8x per reel held for the spin.","Deux tambours bloqués sont deux tambours payés. +1,8x par rouleau retenu pour le lancer."
"Long Fuse","Long Fuse","La Mèche Longue"
"Seventy spins of nothing. Then +3.5x on every line, for good.","Seventy spins of nothing. Then +3.5x on every line, for good.","Soixante-dix lancers de rien. Puis +3,5x sur chaque ligne, pour de bon."
"Loose Screw","Loose Screw","La Vis Desserrée"
"A tooth is missing off the ratchet. Sometimes a spin just doesn't count.","A tooth is missing off the ratchet. Sometimes a spin just doesn't count.","Une dent manque sur le rochet. Parfois un lancer ne compte tout simplement pas."
"Lucky Charm","Lucky Charm","Le Porte-Bonheur"
"A worn rabbit's foot. Every spin pays 3 more, win or lose.","A worn rabbit's foot. Every spin pays 3 more, win or lose.","Une patte de lapin usée. Chaque lancer paie 3 de plus, qu'il gagne ou qu'il perde."
"Magnet Coil","Magnet Coil","La Bobine Magnétique"
"Sevens are drawn to it. +4 draw weight on Lucky Seven.","Sevens are drawn to it. +4 draw weight on Lucky Seven.","Les sept sont attirés vers elle. +4 de poids de tirage sur Sept Chanceux."
"Margin Call","Margin Call","L'Appel de Marge"
"The deeper you are, the harder they let you play. +0.55x for every 100 owed.","The deeper you are, the harder they let you play. +0.55x for every 100 owed.","Plus vous êtes endetté, plus on vous laisse jouer gros. +0,55x par tranche de 100 dus."
"Marker Note","Marker Note","La Traite"
"The house is delighted to lend. +0.25x for every 100 you owe.","The house is delighted to lend. +0.25x for every 100 you owe.","La maison prête avec plaisir. +0,25x par tranche de 100 dus."
"Master Key","Master Key","Le Passe-Partout"
"Opens every stop on the machine. +2.4x per nudge spent on the board.","Opens every stop on the machine. +2.4x per nudge spent on the board.","Ouvre chaque arrêt de la machine. +2,4x par poussée dépensée sur le plateau."
"Micrometer","Micrometer","Le Micromètre"
"Measures the drop to the thousandth. +1.2x per nudge spent on the board.","Measures the drop to the thousandth. +1.2x per nudge spent on the board.","Mesure la chute au millième. +1,2x par poussée dépensée sur le plateau."
"Mirror Shard","Mirror Shard","L'Éclat de Miroir"
"Every symbol sees itself twice. Each landed symbol pays 2 more.","Every symbol sees itself twice. Each landed symbol pays 2 more.","Chaque symbole se voit en double. Chaque symbole tombé paie 2 de plus."
"Night Shift","Night Shift","La Garde de Nuit"
"Nobody is watching the clock. +2 spins on every floor.","Nobody is watching the clock. +2 spins on every floor.","Personne ne surveille l'horloge. +2 lancers sur chaque étage."
"The Nudge Bar","The Nudge Bar","Le Levier de Poussée"
"A second lever, stiff with grease. One nudge an award comes free.","A second lever, stiff with grease. One nudge an award comes free.","Un second levier, raide de graisse. Une poussée, une récompense offerte."
"Numbered Account","Numbered Account","Le Compte Numéroté"
"No name at all, this time. The vault pays 32% more.","No name at all, this time. The vault pays 32% more.","Aucun nom cette fois. Le coffre paie 32 % de plus."
"Orchard Wall","Orchard Wall","Le Mur du Verger"
"More trees. +5 draw weight on every fruit.","More trees. +5 draw weight on every fruit.","Plus d'arbres. +5 de poids de tirage sur chaque fruit."
"Ossuary","Ossuary","L'Ossuaire"
"It keeps every skull it has ever seen. +0.04x per skull landed this run, up to +3.0x.","It keeps every skull it has ever seen. +0.04x per skull landed this run, up to +3.0x.","Il garde chaque crâne qu'il a jamais vu. +0,04x par crâne tombé cette partie, jusqu'à +3,0x."
"Overdraft Clause","Overdraft Clause","La Clause de Découvert"
"A clause nobody read. Clears 25% of your debt each floor.","A clause nobody read. Clears 25% of your debt each floor.","Une clause que personne n'a lue. Efface 25 % de votre dette à chaque étage."
"Overtime Clock","Overtime Clock","L'Horloge des Heures Sup"
"The floor closes late. +2 spins on every floor.","The floor closes late. +2 spins on every floor.","L'étage ferme tard. +2 lancers sur chaque étage."
"Pair Broker","Pair Broker","Le Courtier en Paires"
"He only deals in twos. Pair lines gain +1.0x.","He only deals in twos. Pair lines gain +1.0x.","Il ne traite qu'en paires. Les lignes de paire gagnent +1,0x."
"Parallel Drums","Parallel Drums","Les Tambours Parallèles"
"The line is scored twice. Once is rarely enough.","The line is scored twice. Once is rarely enough.","La ligne est comptée deux fois. Une fois suffit rarement."
"Pawn Ticket","Pawn Ticket","Le Ticket de Gage"
"Small, and it pays every floor. 6% of your float, up to 20.","Small, and it pays every floor. 6% of your float, up to 20.","Petit, et il paie à chaque étage. 6 % de votre trésorerie, jusqu'à 20."
"The Pit Boss","The Pit Boss","Le Chef de Salle"
"He watches every symbol land, and charges for it. Each pays 12 more.","He watches every symbol land, and charges for it. Each pays 12 more.","Il regarde chaque symbole tomber, et facture pour ça. Chacun paie 12 de plus."
"Power Coupling","Power Coupling","Le Raccord de Puissance"
"Wire the machines together. +0.2x per artifact owned.","Wire the machines together. +0.2x per artifact owned.","Reliez les machines entre elles. +0,2x par artefact possédé."
"Pressure Gauge","Pressure Gauge","Le Manomètre"
"Reads high while there is time. +0.06x per spin left on the floor, up to +1.0x.","Reads high while there is time. +0.06x per spin left on the floor, up to +1.0x.","Affiche haut tant qu'il reste du temps. +0,06x par lancer restant sur l'étage, jusqu'à +1,0x."
"Pressure Valve","Pressure Valve","La Soupape de Pression"
"Vent the boiler and the night runs long. +4 spins per floor.","Vent the boiler and the night runs long. +4 spins per floor.","Purgez la chaudière et la nuit s'allonge. +4 lancers par étage."
"The Quiet Room","The Quiet Room","La Salle Discrète"
"No cameras, by arrangement. The House notices 35% less of what you win.","No cameras, by arrangement. The House notices 35% less of what you win.","Pas de caméras, sur arrangement. La Maison remarque 35 % de moins de ce que vous gagnez."
"Rabbit Run","Rabbit Run","La Course du Lapin"
"It bolts, and the reel forgets. 12% of spins are free.","It bolts, and the reel forgets. 12% of spins are free.","Il détale, et le rouleau oublie. 12 % des lancers sont gratuits."
"Ratchet Pawl","Ratchet Pawl","Le Cliquet"
"The drums will hold anywhere you stop them. Two free nudges an award.","The drums will hold anywhere you stop them. Two free nudges an award.","Les tambours tiennent où vous les arrêtez. Deux poussées gratuites par récompense."
"Reel Clamp","Reel Clamp","La Pince à Rouleau"
"A jaw on every drum. +0.6x per reel held for the spin.","A jaw on every drum. +0.6x per reel held for the spin.","Une mâchoire sur chaque tambour. +0,6x par rouleau retenu pour le lancer."
"Relay Bank","Relay Bank","Le Banc de Relais"
"Every device that fires trips the next. +0.25x per other artifact that triggered on the line.","Every device that fires trips the next. +0.25x per other artifact that triggered on the line.","Chaque appareil qui se déclenche en entraîne un autre. +0,25x par autre artefact déclenché sur la ligne."
"Second Lever","Second Lever","Le Second Levier"
"It only works beside the first one. +1.5x while you own the Nudge Bar.","It only works beside the first one. +1.5x while you own the Nudge Bar.","Il ne fonctionne qu'à côté du premier. +1,5x tant que vous possédez le Levier de Poussée."
"Seven Counter","Seven Counter","Le Compteur de Sept"
"It remembers every seven. +0.15x per Lucky Seven landed this run, up to +4.0x.","It remembers every seven. +0.15x per Lucky Seven landed this run, up to +4.0x.","Il se souvient de chaque sept. +0,15x par Sept Chanceux tombé cette partie, jusqu'à +4,0x."
"Skull Tally","Skull Tally","Le Décompte des Crânes"
"Every skull on the line is a mark in the book. +0.6x per skull standing.","Every skull on the line is a mark in the book. +0.6x per skull standing.","Chaque crâne sur la ligne est une marque dans le registre. +0,6x par crâne debout."
"Spare Drum","Spare Drum","Le Tambour de Rechange"
"A fourth reel, wired to pay along with the others. Every symbol pays 3 more.","A fourth reel, wired to pay along with the others. Every symbol pays 3 more.","Un quatrième rouleau, câblé pour payer avec les autres. Chaque symbole paie 3 de plus."
"Switchboard","Switchboard","Le Tableau de Connexions"
"Every trigger is patched through. +0.6x per other artifact that triggered on the line.","Every trigger is patched through. +0.6x per other artifact that triggered on the line.","Chaque déclenchement est raccordé. +0,6x par autre artefact déclenché sur la ligne."
"Tally Sheet","Tally Sheet","La Feuille de Décompte"
"Two of anything is worth writing down. Pair lines gain +2.0x.","Two of anything is worth writing down. Pair lines gain +2.0x.","Deux de n'importe quoi mérite d'être noté. Les lignes de paire gagnent +2,0x."
"Every line is a trade, and every trade clears through it. +1.2x per other artifact that triggered on the line.","Every line is a trade, and every trade clears through it. +1.2x per other artifact that triggered on the line.","Chaque ligne est une transaction, et chaque transaction passe par lui. +1,2x par autre artefact déclenché sur la ligne."
"The Ledger","The Ledger","Le Registre"
"Everything you have taken, itemised. +0.25x for each artifact you own.","Everything you have taken, itemised. +0.25x for each artifact you own.","Tout ce que vous avez pris, en détail. +0,25x par artefact possédé."
"The House sends a car. +2.0x per stake level above the first.","The House sends a car. +2.0x per stake level above the first.","La Maison envoie une voiture. +2,0x par niveau de mise au-dessus du premier."
"Three Bar Salute","Three Bar Salute","Le Salut à Trois Bars"
"An old payout schedule, still honoured. Every Bar pays 5 more.","An old payout schedule, still honoured. Every Bar pays 5 more.","Un ancien barème de paiement, toujours honoré. Chaque Bar paie 5 de plus."
"Twin Boilers","Twin Boilers","Les Chaudières Jumelles"
"The second only fires beside the first. +2.5x while you own the Pressure Valve.","The second only fires beside the first. +2.5x while you own the Pressure Valve.","La seconde ne s'allume qu'à côté de la première. +2,5x tant que vous possédez la Soupape de Pression."
"Usurer's Wheel","Usurer's Wheel","La Roue de l'Usurier"
"It turns on what is owed. +0.7x per bank device owned.","It turns on what is owed. +0.7x per bank device owned.","Elle tourne sur ce qui est dû. +0,7x par appareil bancaire possédé."
"Vault Key","Vault Key","La Clé du Coffre"
"Your float earns its keep. Pays 10% of cash per floor, up to 15.","Your float earns its keep. Pays 10% of cash per floor, up to 15.","Votre trésorerie gagne sa pitance. Paie 10 % de l'argent par étage, jusqu'à 15."
"Whale Ticket","Whale Ticket","Le Ticket de Baleine"
"Admits one high roller. +0.5x per stake level above the first.","Admits one high roller. +0.5x per stake level above the first.","Admet un gros joueur. +0,5x par niveau de mise au-dessus du premier."
"Winning Streak","Winning Streak","La Série Gagnante"
"Every paying spin feeds the next. +0.5x per paying spin in a row, up to +5.0x.","Every paying spin feeds the next. +0.5x per paying spin in a row, up to +5.0x.","Chaque lancer payant nourrit le suivant. +0,5x par lancer payant d'affilée, jusqu'à +5,0x."
"The Accountant","The Accountant","Le Comptable"
"He bills for every drum you touch.","He bills for every drum you touch.","Il facture chaque tambour que vous touchez."
"Every lock costs triple.","Every lock costs triple.","Chaque blocage coûte le triple."
"The Auditor","The Auditor","L'Auditeur"
"He finds jackpots suspicious.","He finds jackpots suspicious.","Il trouve les jackpots suspects."
"Jackpots pay six-tenths.","Jackpots pay six-tenths.","Les jackpots paient six dixièmes."
"The Bailiff","The Bailiff","L'Huissier"
"He has a key to the till.","He has a key to the till.","Il a une clé de la caisse."
"The vig is charged again halfway through the floor.","The vig is charged again halfway through the floor.","L'agio est prélevé une seconde fois à mi-étage."
"The Bouncer","The Bouncer","Le Videur"
"He charges at the door, and again to stay.","He charges at the door, and again to stay.","Il facture à l'entrée, et encore pour rester."
"Every lock costs double.","Every lock costs double.","Chaque blocage coûte le double."
"The Cashier","The Cashier","La Caissière"
"She does not change large notes.","She does not change large notes.","Elle ne fait pas la monnaie sur les gros billets."
"The stake stays at one.","The stake stays at one.","La mise reste à un."
"The Collector","The Collector","Le Collecteur"
"He does not wait for the floor to end.","He does not wait for the floor to end.","Il n'attend pas la fin de l'étage."
"The Cooler","The Cooler","Le Refroidisseur"
"The good symbols have been asked to wait outside.","The good symbols have been asked to wait outside.","On a prié les bons symboles d'attendre dehors."
"Sevens, Diamonds, Double Bars and Wilds at half weight.","Sevens, Diamonds, Double Bars and Wilds at half weight.","Septs Chanceux, Diamants, Double Bars et Sauvages à poids moitié."
